ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,mortgage_rate,mortgage_rate_lower,mortgage_rate_upper,tax,tax_lower,tax_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,County
2029-08-31,188581.2645779153,177074.33841709007,188563.00412366536,186567.46900631566,190568.71856041066,-5730.21067527189,-5730.21067527189,-5730.21067527189,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-1450.513159532619,-1450.513159532619,-1450.513159532619,0.0,0.0,0.0,182851.0539026434,Oneida
2029-09-30,189387.16645087863,177647.95412673353,189078.06011569148,187291.54841564732,191466.67058807705,-6062.765400831199,-6062.765400831199,-6062.765400831199,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-1783.0678850919278,-1783.0678850919278,-1783.0678850919278,0.0,0.0,0.0,183324.40105004743,Oneida
2029-10-31,190219.9317196074,179372.75487005382,190902.66540326277,188065.64178139408,192381.23538521156,-5028.445711608605,-5028.445711608605,-5028.445711608605,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-748.7481958693338,-748.7481958693338,-748.7481958693338,0.0,0.0,0.0,185191.4860079988,Oneida
2029-11-30,191025.83359257074,182138.99489671088,193717.4447030542,188781.71499000915,193273.0186053691,-3154.475401446229,-3154.475401446229,-3154.475401446229,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,1125.2221142930423,1125.2221142930423,1125.2221142930423,0.0,0.0,0.0,187871.3581911245,Oneida
2029-12-31,191858.59886129948,182234.52935764834,194222.15341408734,189560.18409523877,194169.47616648197,-3904.3731883398646,-3904.3731883398646,-3904.3731883398646,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,375.32432739940657,375.32432739940657,375.32432739940657,0.0,0.0,0.0,187954.2256729596,Oneida
2030-01-31,192691.36413002832,182233.83599959963,194231.84072688498,190293.68332299366,195075.79667236021,-4417.285264656636,-4417.285264656636,-4417.285264656636,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,-137.5877489173651,-137.5877489173651,-137.5877489173651,0.0,0.0,0.0,188274.07886537167,Oneida
2030-02-28,193443.53921146077,183484.9409468877,195428.90241751965,190982.35879302505,195868.4848185277,-3929.280650848204,-3929.280650848204,-3929.280650848204,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,350.4168648910672,350.4168648910672,350.4168648910672,0.0,0.0,0.0,189514.25856061256,Oneida
2030-03-31,194276.30448018952,185295.61906615374,197194.42198614698,191753.06020946166,196752.8276946097,-2986.65613426924,-2986.65613426924,-2986.65613426924,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,1293.0413814700314,1293.0413814700314,1293.0413814700314,0.0,0.0,0.0,191289.6483459203,Oneida
2030-04-30,195082.20635315284,185607.2814614276,197593.41151154428,192503.68427784406,197632.2966551996,-3355.158620853682,-3355.158620853682,-3355.158620853682,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,924.5388948855898,924.5388948855898,924.5388948855898,0.0,0.0,0.0,191727.04773229916,Oneida
2030-05-31,195914.97162188162,186054.11027237182,198553.37399927658,193254.5633270164,198554.2527008841,-3656.2813271826253,-3656.2813271826253,-3656.2813271826253,-4279.697515739272,-4279.697515739272,-4279.697515739272,1086.0325334369286,1086.0325334369286,1086.0325334369286,-5365.7300491762,-5365.7300491762,-5365.7300491762,623.4161885566456,623.4161885566456,623.4161885566456,0.0,0.0,0.0,192258.690294699,Oneida
