RegionID,SizeRank,RegionName,RegionType,StateName,Date,PriceValue
394387,195,"Binghamton, NY",msa,NY,2017-01-31,
394748,241,"Kingston, NY",msa,NY,2017-01-31,
394719,328,"Jamestown, NY",msa,NY,2017-01-31,
394633,331,"Glens Falls, NY",msa,NY,2017-01-31,
395213,351,"Watertown, NY",msa,NY,2017-01-31,
394709,376,"Ithaca, NY",msa,NY,2017-01-31,
394501,413,"Corning, NY",msa,NY,2017-01-31,
394568,432,"Elmira, NY",msa,NY,2017-01-31,
394350,464,"Auburn, NY",msa,NY,2017-01-31,
394939,542,"Oneonta, NY",msa,NY,2017-01-31,
394913,1,"New York, NY",msa,NY,2017-02-28,2156.019930149917
394425,50,"Buffalo, NY",msa,NY,2017-02-28,1111.0234848082173
395031,52,"Rochester, NY",msa,NY,2017-02-28,1139.888042561176
394308,64,"Albany, NY",msa,NY,2017-02-28,1327.3822226658292
845159,86,"Poughkeepsie, NY",msa,NY,2017-02-28,1750.6476517988276
395143,91,"Syracuse, NY",msa,NY,2017-02-28,1235.5046929164018
395179,169,"Utica, NY",msa,NY,2017-02-28,
394387,195,"Binghamton, NY",msa,NY,2017-02-28,
394748,241,"Kingston, NY",msa,NY,2017-02-28,
394719,328,"Jamestown, NY",msa,NY,2017-02-28,
394633,331,"Glens Falls, NY",msa,NY,2017-02-28,
395213,351,"Watertown, NY",msa,NY,2017-02-28,
394709,376,"Ithaca, NY",msa,NY,2017-02-28,
394501,413,"Corning, NY",msa,NY,2017-02-28,
394568,432,"Elmira, NY",msa,NY,2017-02-28,
394350,464,"Auburn, NY",msa,NY,2017-02-28,
394939,542,"Oneonta, NY",msa,NY,2017-02-28,
394913,1,"New York, NY",msa,NY,2017-03-31,2172.569525477012
394425,50,"Buffalo, NY",msa,NY,2017-03-31,1112.2364397205183
395031,52,"Rochester, NY",msa,NY,2017-03-31,1150.9773845102536
394308,64,"Albany, NY",msa,NY,2017-03-31,1326.257890808272
