RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,PriceDate,HomePrice,County,Year,Month,TaxAmount,TaxDate,Mortgage Rate,RentDate,Housing,MonthlyRent
2039,642,Steuben County,county,NY,NY,"Corning, NY",36,101,2000-03-31,53891.53004489099,Steuben,2000,2000-03-31,,,,2024-01-01,9990.0,832.5
1610,689,Chemung County,county,NY,NY,"Elmira, NY",36,15,2000-03-31,30396.24509489149,Chemung,2000,2000-03-31,,,,2024-01-01,11568.0,964.0
1630,715,Clinton County,county,NY,NY,"Plattsburgh, NY",36,19,2000-03-31,49502.78853081219,Clinton,2000,2000-03-31,,,,2024-01-01,11387.0,948.9166666666666
3088,732,Cattaraugus County,county,NY,NY,"Olean, NY",36,9,2000-03-31,44202.20663577798,Cattaraugus,2000,2000-03-31,,,,2024-01-01,8833.0,736.0833333333334
929,738,Cayuga County,county,NY,NY,"Auburn, NY",36,11,2000-03-31,53262.26250587888,Cayuga,2000,2000-03-31,,,,2024-01-01,9881.0,823.4166666666666
1909,790,Madison County,county,NY,NY,"Syracuse, NY",36,53,2000-03-31,54515.45161362277,Madison,2000,2000-03-31,,,,2024-01-01,10073.0,839.4166666666666
1479,827,Warren County,county,NY,NY,"Glens Falls, NY",36,113,2000-03-31,69364.8330068887,Warren,2000,2000-03-31,,,,2024-01-01,13045.0,1087.0833333333333
2961,861,Livingston County,county,NY,NY,"Rochester, NY",36,51,2000-03-31,56207.22227055496,Livingston,2000,2000-03-31,,,,2024-01-01,10330.0,860.8333333333334
2214,869,Columbia County,county,NY,NY,"Hudson, NY",36,21,2000-03-31,69726.44855459458,Columbia,2000,2000-03-31,,,,2024-01-01,14111.0,1175.9166666666667
3066,870,Washington County,county,NY,NY,"Glens Falls, NY",36,115,2000-03-31,43303.41126811656,Washington,2000,2000-03-31,,,,2024-01-01,11979.0,998.25
2340,878,Herkimer County,county,NY,NY,"Utica-Rome, NY",36,43,2000-03-31,47400.32201232121,Herkimer,2000,2000-03-31,,,,2024-01-01,10067.0,838.9166666666666
1298,890,Otsego County,county,NY,NY,"Oneonta, NY",36,77,2000-03-31,35122.90786431425,Otsego,2000,2000-03-31,,,,2024-01-01,9785.0,815.4166666666666
1722,902,Genesee County,county,NY,NY,"Batavia, NY",36,37,2000-03-31,45980.29908944146,Genesee,2000,2000-03-31,,,,2024-01-01,8977.0,748.0833333333334
1024,954,Fulton County,county,NY,NY,"Gloversville, NY",36,35,2000-03-31,39660.32758344214,Fulton,2000,2000-03-31,,,,2024-01-01,9580.0,798.3333333333334
2979,1012,Montgomery County,county,NY,NY,"Amsterdam, NY",36,57,2000-03-31,40711.74294208797,Montgomery,2000,2000-03-31,,,,2024-01-01,9218.0,768.1666666666666
748,1026,Tioga County,county,NY,NY,"Binghamton, NY",36,107,2000-03-31,48997.24131149242,Tioga,2000,2000-03-31,,,,2024-01-01,10472.0,872.6666666666666
