Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Owner,Adjusted_Cumulative_Owner,Net_Difference_Savings,Cumulative_Rent_k,Adjusted_Cumulative_Owner_k,Net_Difference_Savings_k
2022,Fulton,New York,855,142000,3217,923,15265,923,6129,6525,-243475,249604,6.129,-243.475,249.604
2023,Fulton,New York,883,156100,3325,963,15645,963,7012,7488,-242512,249524,7.012,-242.512,249.524
2015,Genesee,New York,724,107000,3047,894,17467,894,724,894,-249106,249830,0.724,-249.106,249.83
2016,Genesee,New York,716,108700,3114,891,17456,891,1440,1785,-248215,249655,1.44,-248.215,249.655
2017,Genesee,New York,748,111900,3195,894,17369,894,2188,2679,-247321,249509,2.188,-247.321,249.509
2018,Genesee,New York,746,117600,3310,924,17201,924,2934,3603,-246397,249331,2.934,-246.397,249.331
2019,Genesee,New York,747,119800,3354,926,17168,926,3681,4529,-245471,249152,3.681,-245.471,249.152
2020,Genesee,New York,786,125200,3456,916,17501,916,4467,5445,-244555,249022,4.467,-244.555,249.022
2021,Genesee,New York,808,130100,3574,934,17756,934,5275,6379,-243621,248896,5.275,-243.621,248.896
2022,Genesee,New York,866,148600,3798,1022,17919,1022,6141,7401,-242599,248740,6.141,-242.599,248.74
2023,Genesee,New York,909,157800,3958,1078,18381,1078,7050,8479,-241521,248571,7.05,-241.521,248.571
2015,Greene,New York,837,177700,2989,1022,13261,1022,837,1022,-248978,249815,0.837,-248.978,249.815
2016,Greene,New York,856,175900,2996,983,12895,983,1693,2005,-247995,249688,1.693,-247.995,249.688
2017,Greene,New York,876,176100,2992,989,12960,989,2569,2994,-247006,249575,2.569,-247.006,249.575
2018,Greene,New York,906,174700,3151,1001,12681,1001,3475,3995,-246005,249480,3.475,-246.005,249.48
2019,Greene,New York,908,176300,3277,1036,12796,1036,4383,5031,-244969,249352,4.383,-244.969,249.352
2020,Greene,New York,925,185600,3511,977,13550,977,5308,6008,-243992,249300,5.308,-243.992,249.3
2021,Greene,New York,963,190000,3668,1036,13438,1036,6271,7044,-242956,249227,6.271,-242.956,249.227
2022,Greene,New York,1013,229500,4048,1154,13589,1154,7284,8198,-241802,249086,7.284,-241.802,249.086
2023,Greene,New York,993,248300,4116,1261,14107,1261,8277,9459,-240541,248818,8.277,-240.541,248.818
2015,Hamilton,New York,622,162600,2036,663,1177,663,622,663,-249337,249959,0.622,-249.337,249.959
2016,Hamilton,New York,733,165500,1866,699,1055,699,1355,1362,-248638,249993,1.355,-248.638,249.993
2017,Hamilton,New York,713,164000,1825,743,927,743,2068,2105,-247895,249963,2.068,-247.895,249.963
2018,Hamilton,New York,761,164900,1839,755,963,755,2829,2860,-247140,249969,2.829,-247.14,249.969
2019,Hamilton,New York,783,166000,1690,643,1003,643,3612,3503,-246497,250109,3.612,-246.497,250.109
2020,Hamilton,New York,841,170500,1834,767,1208,767,4453,4270,-245730,250183,4.453,-245.73,250.183
2021,Hamilton,New York,873,170600,1821,743,1261,743,5326,5013,-244987,250313,5.326,-244.987,250.313
2022,Hamilton,New York,902,204900,2197,823,1465,823,6228,5836,-244164,250392,6.228,-244.164,250.392
2023,Hamilton,New York,860,242000,2369,805,1741,805,7088,6641,-243359,250447,7.088,-243.359,250.447
2015,Herkimer,New York,623,96100,2423,750,18556,750,623,750,-249250,249873,0.623,-249.25,249.873
2016,Herkimer,New York,636,97300,2437,741,18066,741,1259,1491,-248509,249768,1.259,-248.509,249.768
2017,Herkimer,New York,657,95800,2444,728,18053,728,1916,2219,-247781,249697,1.916,-247.781,249.697
2018,Herkimer,New York,680,97200,2500,733,17821,733,2596,2952,-247048,249644,2.596,-247.048,249.644
2019,Herkimer,New York,675,100000,2607,728,18052,728,3271,3680,-246320,249591,3.271,-246.32,249.591
2020,Herkimer,New York,680,106600,2709,744,18647,744,3951,4424,-245576,249527,3.951,-245.576,249.527
2021,Herkimer,New York,709,110500,2747,764,18270,764,4660,5188,-244812,249472,4.66,-244.812,249.472
2022,Herkimer,New York,776,130900,3023,848,18744,848,5436,6036,-243964,249400,5.436,-243.964,249.4
2023,Herkimer,New York,811,135000,3067,875,19296,875,6247,6911,-243089,249336,6.247,-243.089,249.336
2015,Jefferson,New York,947,141000,2331,886,24610,886,947,886,-249114,250061,0.947,-249.114,250.061
2016,Jefferson,New York,943,144400,2367,870,24333,870,1890,1756,-248244,250134,1.89,-248.244,250.134
2017,Jefferson,New York,966,149300,2448,888,24012,888,2856,2644,-247356,250212,2.856,-247.356,250.212
2018,Jefferson,New York,979,149500,2486,887,24108,887,3835,3531,-246469,250304,3.835,-246.469,250.304
2019,Jefferson,New York,987,149900,2514,893,24135,893,4822,4424,-245576,250398,4.822,-245.576,250.398
2020,Jefferson,New York,1018,150100,2575,880,23980,880,5840,5304,-244696,250536,5.84,-244.696,250.536
2021,Jefferson,New York,1072,154000,2642,950,25121,950,6912,6254,-243746,250658,6.912,-243.746,250.658
2022,Jefferson,New York,1143,169600,2778,1039,25123,1039,8055,7293,-242707,250762,8.055,-242.707,250.762
2023,Jefferson,New York,1214,181000,2851,1076,25278,1076,9269,8369,-241631,250900,9.269,-241.631,250.9
2015,Kings,New York,1215,570200,3656,1834,272717,1834,1215,1834,-248166,249381,1.215,-248.166,249.381
2016,Kings,New York,1262,590500,3834,1822,276447,1822,2477,3656,-246344,248821,2.477,-246.344,248.821
2017,Kings,New York,1314,623900,4074,1844,283752,1844,3791,5500,-244500,248291,3.791,-244.5,248.291
2018,Kings,New York,1374,665300,4358,1893,285330,1893,5165,7393,-242607,247772,5.165,-242.607,247.772
2019,Kings,New York,1426,706000,4636,1944,288632,1944,6591,9337,-240663,247254,6.591,-240.663,247.254
2020,Kings,New York,1483,734800,4980,1949,295080,1949,8074,11286,-238714,246788,8.074,-238.714,246.788
2021,Kings,New York,1582,767500,5377,2040,302305,2040,9656,13326,-236674,246330,9.656,-236.674,246.33
2022,Kings,New York,1715,865300,5881,2201,302505,2201,11371,15527,-234473,245844,11.371,-234.473,245.844
2023,Kings,New York,1784,889700,6120,2248,300026,2248,13155,17775,-232225,245380,13.155,-232.225,245.38
2015,Lewis,New York,699,117300,2009,738,8066,738,699,738,-249262,249961,0.699,-249.262,249.961
2016,Lewis,New York,708,122000,2124,748,7849,748,1407,1486,-248514,249921,1.407,-248.514,249.921
2017,Lewis,New York,742,121700,2232,750,7987,750,2149,2236,-247764,249913,2.149,-247.764,249.913
2018,Lewis,New York,733,120000,2260,779,8111,779,2882,3015,-246985,249867,2.882,-246.985,249.867
2019,Lewis,New York,768,120200,2304,753,8282,753,3650,3768,-246232,249882,3.65,-246.232,249.882
2020,Lewis,New York,700,122800,2313,769,8407,769,4350,4537,-245463,249813,4.35,-245.463,249.813
2021,Lewis,New York,725,128600,2431,789,8603,789,5075,5326,-244674,249749,5.075,-244.674,249.749
2022,Lewis,New York,768,146100,2602,861,8620,861,5843,6187,-243813,249656,5.843,-243.813,249.656
2023,Lewis,New York,821,158000,2682,889,8812,889,6664,7076,-242924,249588,6.664,-242.924,249.588
2015,Livingston,New York,721,121200,3449,960,17624,960,721,960,-249040,249761,0.721,-249.04,249.761
2016,Livingston,New York,722,123000,3473,941,17745,941,1443,1901,-248099,249542,1.443,-248.099,249.542
2017,Livingston,New York,755,125000,3513,948,17888,948,2198,2849,-247151,249349,2.198,-247.151,249.349
2018,Livingston,New York,781,126700,3581,976,17903,976,2979,3825,-246175,249154,2.979,-246.175,249.154
2019,Livingston,New York,798,129400,3636,989,18054,989,3777,4814,-245186,248963,3.777,-245.186,248.963
2020,Livingston,New York,793,134000,3654,963,18683,963,4570,5777,-244223,248793,4.57,-244.223,248.793
2021,Livingston,New York,843,142000,3812,1019,18320,1019,5413,6796,-243204,248617,5.413,-243.204,248.617
2022,Livingston,New York,919,159900,4050,1059,18546,1059,6332,7855,-242145,248477,6.332,-242.145,248.477
2023,Livingston,New York,912,169600,4182,1078,18759,1078,7244,8933,-241067,248311,7.244,-241.067,248.311
2015,Madison,New York,718,124900,3123,975,19755,975,718,975,-249025,249743,0.718,-249.025,249.743
2016,Madison,New York,728,128000,3148,966,19703,966,1446,1941,-248059,249505,1.446,-248.059,249.505
2017,Madison,New York,755,132800,3312,987,19985,987,2201,2928,-247072,249273,2.201,-247.072,249.273
2018,Madison,New York,771,131800,3335,984,19965,984,2972,3912,-246088,249060,2.972,-246.088,249.06
2019,Madison,New York,783,136800,3422,987,20016,987,3755,4899,-245101,248856,3.755,-245.101,248.856
2020,Madison,New York,768,140000,3514,996,20365,996,4523,5895,-244105,248628,4.523,-244.105,248.628
2021,Madison,New York,789,151100,3656,1049,19294,1049,5312,6944,-243056,248368,5.312,-243.056,248.368
2022,Madison,New York,867,162800,3886,1102,19606,1102,6179,8046,-241954,248133,6.179,-241.954,248.133
2023,Madison,New York,891,176800,4058,1124,20047,1124,7070,9170,-240830,247900,7.07,-240.83,247.9
2015,Monroe,New York,826,138600,4307,1103,192326,1103,826,1103,-248897,249723,0.826,-248.897,249.723
2016,Monroe,New York,843,140200,4396,1098,191707,1098,1669,2201,-247799,249468,1.669,-247.799,249.468
2017,Monroe,New York,872,142300,4533,1105,191781,1105,2541,3306,-246694,249235,2.541,-246.694,249.235
