Year,County,State,Median_Gross_Rent,Median_Home_Value,Median_Property_Tax,Owner_Cost_With_Mortgage,Owner_Cost_Without_Mortgage,Owner_Cost_Annual,Cumulative_Rent,Cumulative_Equity,Net_Difference,Cumulative_Rent_k,Cumulative_Equity_k,Net_Difference_k
2022,Jefferson,New York,1143,169600,2778,1039,25123,1039,8055,256254,-248199,8.055,256.254,-248.199
2023,Jefferson,New York,1214,181000,2851,1076,25278,1076,9269,257293,-248024,9.269,257.293,-248.024
2015,Kings,New York,1215,570200,3656,1834,272717,1834,1215,0,1215,1.215,0.0,1.215
2016,Kings,New York,1262,590500,3834,1822,276447,1822,2477,0,2477,2.477,0.0,2.477
2017,Kings,New York,1314,623900,4074,1844,283752,1844,3791,0,3791,3.791,0.0,3.791
2018,Kings,New York,1374,665300,4358,1893,285330,1893,5165,0,5165,5.165,0.0,5.165
2019,Kings,New York,1426,706000,4636,1944,288632,1944,6591,0,6591,6.591,0.0,6.591
2020,Kings,New York,1483,734800,4980,1949,295080,1949,8074,0,8074,8.074,0.0,8.074
2021,Kings,New York,1582,767500,5377,2040,302305,2040,9656,0,9656,9.656,0.0,9.656
2022,Kings,New York,1715,865300,5881,2201,302505,2201,11371,0,11371,11.371,0.0,11.371
2023,Kings,New York,1784,889700,6120,2248,300026,2248,13155,0,13155,13.155,0.0,13.155
2015,Lewis,New York,699,117300,2009,738,8066,738,699,250000,-249301,0.699,250.0,-249.301
2016,Lewis,New York,708,122000,2124,748,7849,748,1407,250738,-249331,1.407,250.738,-249.331
2017,Lewis,New York,742,121700,2232,750,7987,750,2149,251486,-249337,2.149,251.486,-249.337
2018,Lewis,New York,733,120000,2260,779,8111,779,2882,252236,-249354,2.882,252.236,-249.354
2019,Lewis,New York,768,120200,2304,753,8282,753,3650,253015,-249365,3.65,253.015,-249.365
2020,Lewis,New York,700,122800,2313,769,8407,769,4350,253768,-249418,4.35,253.768,-249.418
2021,Lewis,New York,725,128600,2431,789,8603,789,5075,254537,-249462,5.075,254.537,-249.462
2022,Lewis,New York,768,146100,2602,861,8620,861,5843,255326,-249483,5.843,255.326,-249.483
2023,Lewis,New York,821,158000,2682,889,8812,889,6664,256187,-249523,6.664,256.187,-249.523
2015,Livingston,New York,721,121200,3449,960,17624,960,721,250000,-249279,0.721,250.0,-249.279
2016,Livingston,New York,722,123000,3473,941,17745,941,1443,250960,-249517,1.443,250.96,-249.517
2017,Livingston,New York,755,125000,3513,948,17888,948,2198,251901,-249703,2.198,251.901,-249.703
2018,Livingston,New York,781,126700,3581,976,17903,976,2979,252849,-249870,2.979,252.849,-249.87
2019,Livingston,New York,798,129400,3636,989,18054,989,3777,253825,-250048,3.777,253.825,-250.048
2020,Livingston,New York,793,134000,3654,963,18683,963,4570,254814,-250244,4.57,254.814,-250.244
2021,Livingston,New York,843,142000,3812,1019,18320,1019,5413,255777,-250364,5.413,255.777,-250.364
2022,Livingston,New York,919,159900,4050,1059,18546,1059,6332,256796,-250464,6.332,256.796,-250.464
2023,Livingston,New York,912,169600,4182,1078,18759,1078,7244,257855,-250611,7.244,257.855,-250.611
2015,Madison,New York,718,124900,3123,975,19755,975,718,250000,-249282,0.718,250.0,-249.282
2016,Madison,New York,728,128000,3148,966,19703,966,1446,250975,-249529,1.446,250.975,-249.529
2017,Madison,New York,755,132800,3312,987,19985,987,2201,251941,-249740,2.201,251.941,-249.74
2018,Madison,New York,771,131800,3335,984,19965,984,2972,252928,-249956,2.972,252.928,-249.956
2019,Madison,New York,783,136800,3422,987,20016,987,3755,253912,-250157,3.755,253.912,-250.157
2020,Madison,New York,768,140000,3514,996,20365,996,4523,254899,-250376,4.523,254.899,-250.376
2021,Madison,New York,789,151100,3656,1049,19294,1049,5312,255895,-250583,5.312,255.895,-250.583
2022,Madison,New York,867,162800,3886,1102,19606,1102,6179,256944,-250765,6.179,256.944,-250.765
2023,Madison,New York,891,176800,4058,1124,20047,1124,7070,258046,-250976,7.07,258.046,-250.976
2015,Monroe,New York,826,138600,4307,1103,192326,1103,826,250000,-249174,0.826,250.0,-249.174
2016,Monroe,New York,843,140200,4396,1098,191707,1098,1669,251103,-249434,1.669,251.103,-249.434
2017,Monroe,New York,872,142300,4533,1105,191781,1105,2541,252201,-249660,2.541,252.201,-249.66
2018,Monroe,New York,902,144700,4653,1122,191759,1122,3443,253306,-249863,3.443,253.306,-249.863
2019,Monroe,New York,927,148400,4781,1133,191783,1133,4370,254428,-250058,4.37,254.428,-250.058
2020,Monroe,New York,947,152000,4798,1123,193319,1123,5317,255561,-250244,5.317,255.561,-250.244
2021,Monroe,New York,991,160000,4923,1161,198738,1161,6308,256684,-250376,6.308,256.684,-250.376
2022,Monroe,New York,1085,182700,5306,1233,200332,1233,7393,257845,-250452,7.393,257.845,-250.452
2023,Monroe,New York,1126,197100,5495,1272,201032,1272,8519,259078,-250559,8.519,259.078,-250.559
2015,Montgomery,New York,702,101600,3177,868,13109,868,702,250000,-249298,0.702,250.0,-249.298
2016,Montgomery,New York,721,99100,3234,851,13040,851,1423,250868,-249445,1.423,250.868,-249.445
2017,Montgomery,New York,732,99900,3278,858,13565,858,2155,251719,-249564,2.155,251.719,-249.564
2018,Montgomery,New York,749,101000,3217,851,13375,851,2904,252577,-249673,2.904,252.577,-249.673
2019,Montgomery,New York,783,105400,3233,844,13455,844,3687,253428,-249741,3.687,253.428,-249.741
2020,Montgomery,New York,759,110700,3308,869,13241,869,4446,254272,-249826,4.446,254.272,-249.826
2021,Montgomery,New York,793,113500,3363,894,13165,894,5239,255141,-249902,5.239,255.141,-249.902
2022,Montgomery,New York,867,132300,3488,969,13001,969,6106,256035,-249929,6.106,256.035,-249.929
2023,Montgomery,New York,921,141600,3630,1001,13336,1001,7027,257004,-249977,7.027,257.004,-249.977
2015,Nassau,New York,1578,446400,10001,2455,353777,2455,1578,0,1578,1.578,0.0,1.578
2016,Nassau,New York,1603,451700,10001,2450,353420,2450,3181,0,3181,3.181,0.0,3.181
2017,Nassau,New York,1663,460700,10001,2494,357982,2494,4844,0,4844,4.844,0.0,4.844
2018,Nassau,New York,1738,474800,10001,2547,359301,2547,6582,0,6582,6.582,0.0,6.582
